Task ID	Task	Verb	Object Original	Noun Path	Object	Purpose	Method
18405	Select gauges or types of sheet metal or nonmetallic material, according to product specifications.	select	gauges	entity.n.01 > abstraction.n.06 > relation.n.01 > possession.n.02 > liabilities.n.01 > charge.n.08 > levy.n.01 > tax.n.01 > rates.n.01	rates.n.01		according to product specifications
21890	Select gear, such as cables, pulleys, and winches, according to load weights and sizes, facilities, and work schedules.	select	gear	entity.n.01 > abstraction.n.06 > attribute.n.02 > quality.n.01 > asset.n.01 > resource.n.02	resource.n.02		according to load weights and sizes, facilities, and work schedules
15618	Select and acquire metals and gems for designs.	select	gems	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > instrumentality.n.03 > implement.n.01 > rod.n.01	rod.n.01		
15794	Select nozzles, spacers, and wire guides, according to diameters and lengths of rods.	select	guides	entity.n.01 > abstraction.n.06 > psychological_feature.n.01 > event.n.01 > happening.n.01 > movement.n.03 > turning.n.04 > rotation.n.03 > axial_rotation.n.01	axial_rotation.n.01		according to diameters and lengths of rods
9007	Select and purchase lumber and hardware necessary for set construction.	select	hardware	entity.n.01 > physical_entity.n.01 > object.n.01 > location.n.01 > line.n.11 > path.n.03	path.n.03	for set construction	
3362	Select hardware and material, assuring compliance with specifications and product requirements.	select	hardware	entity.n.01 > abstraction.n.06 > psychological_feature.n.01 > cognition.n.01 > information.n.02 > example.n.01 > sample.n.01	sample.n.01		assuring compliance with specifications and product requirements
5817	Review subject matter of materials to be classified and select classification numbers and headings according to classification systems.	select	headings	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > instrumentality.n.03 > implement.n.01 > tool.n.01 > hand_tool.n.01 > saw.n.02	saw.n.02		according to classification systems
8602	Select plays, scripts, books, news content, or ideas to be produced.	select	ideas	entity.n.01 > abstraction.n.06 > communication.n.02 > written_communication.n.01 > writing.n.02 > dramatic_composition.n.01 > script.n.01	script.n.01		
12725	Select digital images for printing, specify number of images to be printed, and direct to printer, using computer software.	select	images	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > living_thing.n.01 > organism.n.01 > plant.n.02 > vascular_plant.n.01 > spermatophyte.n.01 > seedling.n.01	seedling.n.01		using computer software
14141	Select and measure or weigh ingredients, using English or metric measures and balance scales.	select	ingredients	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > instrumentality.n.03 > device.n.01 > detector.n.01	detector.n.01		using English or metric measures and balance scales
14141	Select and mix ingredients to prepare coating substances according to specifications, using paddles or mechanical mixers.	select	ingredients	entity.n.01 > abstraction.n.06 > psychological_feature.n.01 > event.n.01 > act.n.02 > activity.n.01 > occupation.n.01 > employment.n.02 > services.n.01	services.n.01		according to specifications
10608	Select appropriate finishing ingredients such as paint, stain, lacquer, shellac, or varnish, depending on factors such as wood hardness and surface type.	select	ingredients	entity.n.01 > abstraction.n.06 > attribute.n.02 > state.n.02 > situation.n.01 > environment.n.01 > setting.n.02	setting.n.02		depending on factors such as wood hardness and surface type
22683	Select cutting tools and tooling instructions, according to written specifications or knowledge of metal properties and shop mathematics.	select	instructions	entity.n.01 > abstraction.n.06 > attribute.n.02 > property.n.02 > visual_property.n.01 > color.n.01 > shade.n.02	shade.n.02		according to written specifications or knowledge of metal properties and shop mathematics
17091	Select and assign instructors to conduct training.	select	instructors	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > creation.n.02 > representation.n.02 > photograph.n.01 > scene.n.04	scene.n.04		
1272	Select or adapt musical instruments, musical equipment, or non-musical materials, such as adaptive devices or visual aids, to meet treatment objectives.	select	instruments	entity.n.01 > physical_entity.n.01 > object.n.01 > location.n.01 > region.n.03 > geographical_area.n.01 > tract.n.01 > site.n.01	site.n.01	to meet treatment objectives	
9587	Read blueprints, and select appropriate insulation, based on space characteristics and the heat retaining or excluding characteristics of the material.	select	insulation	entity.n.01 > abstraction.n.06 > attribute.n.02 > property.n.02 > size.n.02	size.n.02		based on space characteristics and the heat retaining or excluding characteristics of the material
20244	Select appropriate insulation, such as fiberglass, Styrofoam, or cork, based on the heat retaining or excluding characteristics of the material.	select	insulation	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > creation.n.02 > representation.n.02 > drawing.n.02 > sketch.n.01	sketch.n.01		based on the heat retaining or excluding characteristics of the material
7668	Select specific investments or investment mixes for purchase by an investment fund.	select	investments	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > instrumentality.n.03 > container.n.01 > case.n.05 > sleeve.n.02	sleeve.n.02		
12959	Establish specifications for reproductions and oversee their manufacture or select items from commercially available replica sources.	select	items	entity.n.01 > abstraction.n.06 > relation.n.01 > part.n.01 > substance.n.01 > mixture.n.01 > solution.n.01	solution.n.01		from commercially available replica sources
10197	Select and order tile and other items to be installed, such as bathroom accessories, walls, panels, and cabinets, according to specifications.	select	items	entity.n.01 > physical_entity.n.01 > object.n.01 > location.n.01 > point.n.02 > beginning.n.04	beginning.n.04		according to specifications
23765	Select food items from serving or storage areas and place them in dishes, on serving trays, or in take-out bags.	select	items		#N/A		from serving or storage areas
1999	Select local, state, national, and international news items received from wire services, based on assessment of items' significance and interest value.	select	items	entity.n.01 > abstraction.n.06 > relation.n.01 > position.n.07 > placement.n.01 > spacing.n.02	spacing.n.02		based on assessment of items' significance and interest value
409	Select, position, align, and bolt jigs, holding fixtures, guides, or stops onto machines, using measuring instruments and hand tools.	select	jigs	entity.n.01 > physical_entity.n.01 > causal_agent.n.01 > person.n.01 > communicator.n.01 > articulator.n.01 > speaker.n.01	speaker.n.01		using measuring instruments and hand tools
4006	Select jurors, argue motions, meet with judges, and question witnesses during the course of a trial.	select	jurors	entity.n.01 > abstraction.n.06 > psychological_feature.n.01 > cognition.n.01 > information.n.02 > example.n.01 > specimen.n.01	specimen.n.01		
12973	Select knives, saws, blades, cutter heads, cams, bits, or belts, according to workpiece, machine functions, or product specifications.	select	knives	entity.n.01 > abstraction.n.06 > relation.n.01 > magnitude_relation.n.01 > rate.n.01 > speed.n.01	speed.n.01		according to workpiece, machine functions, or product specifications
791	Select programming languages, design tools, or applications.	select	languages	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > instrumentality.n.03 > device.n.01 > mechanism.n.05 > mechanical_device.n.01 > winder.n.03 > bobbin.n.01	bobbin.n.01		
1856	Select themes, lighting, colors, or props to be used.	select	lighting	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > instrumentality.n.03 > device.n.01 > support.n.10 > base.n.08	base.n.08		
1999	Select loads or materials according to weight and size specifications.	select	loads	entity.n.01 > abstraction.n.06 > relation.n.01 > possession.n.02 > assets.n.01 > capital.n.01 > stock.n.01	stock.n.01		according to weight and size specifications
21705	Select or develop mineral location, extraction, and production methods, based on factors such as safety, cost, and deposit characteristics.	select	location	entity.n.01 > abstraction.n.06 > attribute.n.02 > property.n.02 > constitution.n.04 > structure.n.02	structure.n.02		based on factors such as safety, cost, and deposit characteristics
1726	Select locations and plan underground or surface mining operations, specifying processes, labor usage, and equipment that will result in safe, economical, and environmentally sound extraction of minerals and ores.	select	locations	entity.n.01 > abstraction.n.06 > attribute.n.02 > property.n.02 > manner.n.01	manner.n.01	to ensure safe, economical, and environmentally sound extraction of minerals and ores	
3985	Select coolants and lubricants, and start their flow.	select	lubricants	entity.n.01 > physical_entity.n.01 > causal_agent.n.01 > person.n.01 > party.n.05 > contractor.n.03 > builder.n.03 > contractor.n.01 > subcontractor.n.01	subcontractor.n.01		
1856	Select the proper coolants and lubricants and start their flow.	select	lubricants	entity.n.01 > physical_entity.n.01 > thing.n.12 > subject.n.02	subject.n.02		
9353	Select and order lumber or other required materials.	select	lumber	entity.n.01 > physical_entity.n.01 > causal_agent.n.01 > person.n.01 > capitalist.n.02 > businessperson.n.01 > supplier.n.01	supplier.n.01		
9007	Select and purchase lumber and hardware necessary for set construction.	select	lumber	entity.n.01 > abstraction.n.06 > measure.n.02 > indefinite_quantity.n.01 > supply.n.01	supply.n.01		
4532	Select lumber to be used for patterns.	select	lumber	entity.n.01 > abstraction.n.06 > psychological_feature.n.01 > cognition.n.01 > content.n.05 > idea.n.01 > plan.n.01 > plan_of_action.n.01 > system.n.07	system.n.07	to be used for patterns	
10215	Select appropriate pressing machines, based on garment properties such as heat tolerance.	select	machines	entity.n.01 > abstraction.n.06 > communication.n.02 > signal.n.01 > symbol.n.01 > marker.n.02 > label.n.04 > tag.n.02	tag.n.02		based on garment properties such as heat tolerance
23564	Select and train postmasters and managers of associate postal units.	select	managers	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > strip.n.02 > tape.n.01	tape.n.01		
3362	Select hardware and material, assuring compliance with specifications and product requirements.	select	material	entity.n.01 > abstraction.n.06 > psychological_feature.n.01 > cognition.n.01 > ability.n.02 > know-how.n.01 > method.n.01 > technique.n.01	technique.n.01		assuring compliance with specifications and product requirements
4327	Select material most pertinent to presentation, and organize this material into appropriate formats.	select	material	entity.n.01 > abstraction.n.06 > psychological_feature.n.01 > event.n.01 > act.n.02 > activity.n.01 > occupation.n.01 > profession.n.02 > technology.n.01	technology.n.01	to organize this material into appropriate formats	
201	Identify and select appropriate sustainable materials for use in landscape designs, such as recycled wood or recycled concrete boards for structural elements or recycled tires for playground bedding.	select	materials	entity.n.01 > abstraction.n.06 > psychological_feature.n.01 > event.n.01 > act.n.02 > activity.n.01 > measurement.n.01 > mental_measurement.n.01 > test.n.02	test.n.02	for use in landscape designs	
736	Locate or select biodegradable, non-toxic, or other environmentally friendly raw materials for manufacturing processes.	select	materials	entity.n.01 > abstraction.n.06 > psychological_feature.n.01 > cognition.n.01 > content.n.05 > idea.n.01 > theme.n.02	theme.n.02		select environmentally friendly ones
7697	Select and assemble books, materials, supplies, and equipment for training, courses, or projects.	select	materials	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > line.n.18 > cord.n.01 > thread.n.01	thread.n.01		according to training, courses, or projects requirements
17172	Select and load materials such as workpieces, objects, and machine parts onto equipment used in coiling processes.	select	materials	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > block.n.01 > slab.n.01 > tile.n.01	tile.n.01		such as workpieces, objects, and machine parts
22919	Select and obtain materials and supplies, such as textbooks and laboratory equipment.	select	materials	entity.n.01 > abstraction.n.06 > measure.n.02 > fundamental_quantity.n.01 > time_period.n.01 > times.n.01	times.n.01		such as textbooks and laboratory equipment
7162	Select and obtain materials and supplies, such as textbooks and performance pieces.	select	materials	entity.n.01 > physical_entity.n.01 > object.n.01 > location.n.01 > region.n.01 > extremity.n.04 > end.n.01 > tip.n.01	tip.n.01		
3200	Select and obtain materials and supplies, such as textbooks or laboratory equipment.	select	materials	entity.n.01 > abstraction.n.06 > relation.n.01 > part.n.01 > language_unit.n.01 > name.n.01 > title.n.02	title.n.02		
19406	Select and obtain materials and supplies, such as textbooks.	select	materials		#N/A		
9353	Select and order lumber or other required materials.	select	materials	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > instrumentality.n.03 > implement.n.01 > tool.n.01	tool.n.01		
23453	Select cleaning materials, tools, or equipment.	select	materials	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > instrumentality.n.03 > equipment.n.01 > apparatus.n.01 > burner.n.01 > blowtorch.n.01	blowtorch.n.01		by using specified requirements
8039	Select electromechanical equipment, materials, components, or systems to meet functional specifications.	select	materials	entity.n.01 > abstraction.n.06 > psychological_feature.n.01 > event.n.01 > act.n.02 > group_action.n.01 > transaction.n.01 > commerce.n.01 > trade.n.01	trade.n.01	to meet functional specifications	
1999	Select loads or materials according to weight and size specifications.	select	materials	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > instrumentality.n.03 > device.n.01 > trap.n.01	trap.n.01		according to weight and size specifications
13875	Select materials and components to be used, based on device design.	select	materials	entity.n.01 > abstraction.n.06 > psychological_feature.n.01 > event.n.01 > act.n.02 > activity.n.01 > work.n.01 > care.n.01 > treatment.n.01	treatment.n.01		based on device design
13875	Select materials and patterns, and trace patterns onto materials to be cut out.	select	materials	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > living_thing.n.01 > organism.n.01 > plant.n.02 > vascular_plant.n.01 > woody_plant.n.01 > tree.n.01	tree.n.01		
14678	Select materials and production techniques to be used for products.	select	materials	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > way.n.06 > passage.n.03 > conduit.n.01 > tube.n.01	tube.n.01	to be used for products	
14678	Select materials for use based on strength, color, texture, balance, weight, size, malleability and other characteristics.	select	materials	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > line.n.18 > cord.n.01 > string.n.01	string.n.01	for use based on strength, color, texture, balance, weight, size, malleability and other characteristics	
14678	Select materials needed to complete work assignments.	select	materials	entity.n.01 > abstraction.n.06 > psychological_feature.n.01 > cognition.n.01 > content.n.05 > idea.n.01 > concept.n.01 > category.n.02 > kind.n.01 > type.n.01	type.n.01	to complete work assignments	
1272	Select or adapt musical instruments, musical equipment, or non-musical materials, such as adaptive devices or visual aids, to meet treatment objectives.	select	materials	entity.n.01 > abstraction.n.06 > relation.n.01 > part.n.01 > unit.n.02	unit.n.02	to meet treatment objectives	
17254	Select or prepare speech-language instructional materials.	select	materials	entity.n.01 > physical_entity.n.01 > causal_agent.n.01 > person.n.01 > capitalist.n.02 > businessperson.n.01 > merchant.n.01 > seller.n.01	seller.n.01		
17130	Select pattern materials such as wood, resin, and fiberglass.	select	materials	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > instrumentality.n.03 > device.n.01 > mechanism.n.05 > mechanical_device.n.01 > machine.n.04 > wheel.n.01	wheel.n.01		
8602	Select pipe sizes, types, or related materials, such as supports, hangers, or hydraulic cylinders, according to specifications.	select	materials	entity.n.01 > abstraction.n.06 > attribute.n.02 > property.n.02 > magnitude.n.01 > dimension.n.01 > width.n.01	width.n.01		according to specifications
6937	Select precut fiberglass mats, cloth, and wood-bracing materials as required by projects being assembled.	select	materials	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > instrumentality.n.03 > connection.n.03 > attachment.n.04 > ligament.n.02 > wire.n.01	wire.n.01		as required by projects being assembled
18445	Select the most suitable cleaning materials for different types of linens, furniture, flooring, and surfaces.	select	materials	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > creation.n.02 > product.n.02 > work.n.02	work.n.02	for different types of linens, furniture, flooring, and surfaces	
2023	Select tools, equipment, or materials from storage and transport items to work site.	select	materials	entity.n.01 > physical_entity.n.01 > causal_agent.n.01 > person.n.01 > worker.n.01	worker.n.01		
18783	Select, acquire, and maintain programs, music, films, and other needed materials and obtain legal clearances for their use as necessary.	select	materials	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > line.n.18 > cord.n.01 > thread.n.01	thread.n.01		
20922	Select, acquire, store, and issue equipment and other materials as necessary.	select	materials	Noun Path	Noun Path		
18390	Select, order, and issue books, materials, and supplies for courses or projects.	select	materials	entity.n.01 > abstraction.n.06 > relation.n.01 > part.n.01 > substance.n.01 > material.n.01 > abrasive.n.01	abrasive.n.01		
22786	Select, order, and maintain materials and supplies for teaching and research, such as textbooks, chemicals, and laboratory equipment.	select	materials	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > covering.n.02 > clothing.n.01 > accessory.n.01	accessory.n.01	for teaching and research	
409	Select, order, store, issue, and inventory classroom equipment, materials, and supplies.	select	materials	entity.n.01 > physical_entity.n.01 > object.n.01 > part.n.02 > component.n.03 > accessory.n.02	accessory.n.02		
22847	Select, store, order, issue, and inventory classroom equipment, materials, and supplies.	select	materials	entity.n.01 > abstraction.n.06 > attribute.n.02 > state.n.02 > relationship.n.03 > account.n.03	account.n.03		
6937	Select precut fiberglass mats, cloth, and wood-bracing materials as required by projects being assembled.	select	mats	entity.n.01 > abstraction.n.06 > psychological_feature.n.01 > event.n.01 > act.n.02 > activity.n.01	activity.n.01		as required by projects being assembled
20847	Select and prepare specimens and media for cell cultures, using aseptic technique and knowledge of medium components and cell requirements.	select	media	entity.n.01 > abstraction.n.06 > communication.n.02 > written_communication.n.01 > writing.n.04 > coding_system.n.01 > code.n.03 > address.n.01	address.n.01		
16611	Select or prepare artistic media or related equipment or devices to accomplish therapy session objectives.	select	media	entity.n.01 > physical_entity.n.01 > object.n.01 > part.n.02 > component.n.03 > addition.n.01 > additive.n.01 > adjuvant.n.01	adjuvant.n.01	to accomplish therapy session objectives	
17254	Select or prepare specimens and media for cell cultures using aseptic techniques, knowledge of medium components, or cell nutritional requirements.	select	media	entity.n.01 > abstraction.n.06 > relation.n.01 > part.n.01 > substance.n.01 > mixture.n.01 > alloy.n.01	alloy.n.01		
21190	Select mediators or arbitrators for labor disputes or contract negotiations.	select	mediators	entity.n.01 > abstraction.n.06 > psychological_feature.n.01 > cognition.n.01 > process.n.02 > higher_cognitive_process.n.01 > decision_making.n.01 > option.n.02	option.n.02		
22532	Select and prepare medical equipment or medications to be taken to athletic competition sites.	select	medications	entity.n.01 > physical_entity.n.01 > causal_agent.n.01 > agent.n.03 > drug.n.01 > anesthetic.n.01	anesthetic.n.01	to be taken to athletic competition sites	
9007	Select and prescribe medications to address patient needs.	select	medications	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > living_thing.n.01 > organism.n.01 > animal.n.01	animal.n.01	to address patient needs	
9007	Select and prescribe post-anesthesia medications or treatments to patients.	select	medications	entity.n.01 > physical_entity.n.01 > causal_agent.n.01 > person.n.01 > applicant.n.01	applicant.n.01	to prescribe post-anesthesia treatments	
15569	Select, order, or administer pre-anesthetic medications.	select	medications	entity.n.01 > physical_entity.n.01 > causal_agent.n.01 > person.n.01 > expert.n.01 > authority.n.03 > evaluator.n.01 > arbiter.n.02	arbiter.n.02	to administer pre-anesthetic	
1528	Examine, select, order, or purchase merchandise consistent with quality, quantity, specification requirements, or other factors, such as environmental soundness.	select	merchandise	entity.n.01 > physical_entity.n.01 > causal_agent.n.01 > person.n.01 > expert.n.01 > authority.n.03 > evaluator.n.01 > arbiter.n.02	arbiter.n.02		consistent with quality, quantity, specification requirements, or other factors, such as environmental soundness
4131	Recommend, select, and help locate or obtain merchandise based on customer needs and desires.	select	merchandise	entity.n.01 > abstraction.n.06 > attribute.n.02 > state.n.02 > feeling.n.01 > affection.n.01 > attachment.n.01	attachment.n.01		based on customer needs and desires
15618	Select and acquire metals and gems for designs.	select	metals	entity.n.01 > abstraction.n.06 > attribute.n.02 > shape.n.02 > line.n.04 > curve.n.01 > closed_curve.n.01 > simple_closed_curve.n.01 > loop.n.02 > belt.n.01	belt.n.01		
10481	Select metals to be used from a range of metals and alloys, based on properties such as hardness or heat tolerance.	select	metals	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > instrumentality.n.03 > implement.n.01 > tool.n.01 > cutting_implement.n.01 > bit.n.11	bit.n.11	to be used	based on properties such as hardness or heat tolerance
20245	Select appropriate methods of preparation and storage of media to maintain potential of hydrogen (pH), sterility, or ability to support growth.	select	methods	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > instrumentality.n.03 > device.n.01 > mechanism.n.05 > rotating_mechanism.n.01 > blade.n.08	blade.n.08		of preparation and storage of media to maintain potential of hydrogen (pH), sterility, or ability to support growth
21028	Select banding methods to permit identification of chromosome pairs.	select	methods	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > sheet.n.06 > blank.n.03	blank.n.03	to permit identification of chromosome pairs	
23765	Select fishing methods or tools for removing obstacles such as liners, broken casing, screens, or drill pipe.	select	methods	entity.n.01 > abstraction.n.06 > relation.n.01 > part.n.01 > substance.n.01 > body_substance.n.01 > liquid_body_substance.n.01 > blood.n.01	blood.n.01	for removing obstacles such as liners, broken casing, screens, or drill pipe	
4327	Select material quantities or processing methods needed to achieve efficient production.	select	methods	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > creation.n.02 > product.n.02 > work.n.02 > publication.n.01 > book.n.01	book.n.01	to achieve efficient production	
9515	Select methods, techniques, or criteria for data warehousing evaluative procedures.	select	methods	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > instrumentality.n.03 > device.n.01 > mechanism.n.05 > rotating_mechanism.n.01 > cam.n.02	cam.n.02	for data warehousing evaluative procedures	
21705	Select or develop mineral location, extraction, and production methods, based on factors such as safety, cost, and deposit characteristics.	select	methods	entity.n.01 > abstraction.n.06 > communication.n.02 > visual_communication.n.01 > chart.n.01	chart.n.01		based on factors such as safety, cost, and deposit characteristics
15667	Select or devise materials-handling methods and equipment to transport ore, waste materials, and mineral products efficiently and economically.	select	methods	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > instrumentality.n.03 > implement.n.01 > tool.n.01 > cutting_implement.n.01 > cutter.n.06 > edge_tool.n.01 > chisel.n.01	chisel.n.01	to transport ore, waste materials, and mineral products efficiently and economically	
7668	Select specific investments or investment mixes for purchase by an investment fund.	select	mixes	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > instrumentality.n.03 > device.n.01 > holding_device.n.01 > chuck.n.03	chuck.n.03	for purchase by an investment fund	
1999	Select lens blanks, molds, tools, and polishing or grinding wheels, according to production specifications.	select	molds	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > fabric.n.01	fabric.n.01		according to production specifications
18717	Select sizes and types of molds according to instructions.	select	molds	entity.n.01 > abstraction.n.06 > communication.n.02 > written_communication.n.01 > writing.n.04 > coding_system.n.01 > code.n.03	code.n.03		according to instructions
6232	Consider such factors as ensemble size and abilities, availability of scores, and the need for musical variety, to select music to be performed.	select	music	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > structure.n.01 > coil.n.01	coil.n.01		consider such factors as ensemble size and abilities, availability of scores, and the need for musical variety
22532	Select and play music incorporating crowd preferences and mood.	select	music	entity.n.01 > abstraction.n.06 > attribute.n.02 > property.n.02 > visual_property.n.01 > color.n.01	color.n.01		incorporating crowd preferences and mood
14661	Select and attach hose nozzles, depending on fire type, and direct streams of water or chemicals onto fires.	select	nozzles	entity.n.01 > abstraction.n.06 > group.n.01 > social_group.n.01 > organization.n.01 > institution.n.01 > company.n.01	company.n.01		depending on fire type
10581	Select chisels, pneumatic or surfacing tools, or sandblasting nozzles, and determine sequence of use.	select	nozzles	entity.n.01 > physical_entity.n.01 > object.n.01 > part.n.02 > component.n.03	component.n.03		
15794	Select nozzles, spacers, and wire guides, according to diameters and lengths of rods.	select	nozzles	entity.n.01 > abstraction.n.06 > psychological_feature.n.01 > cognition.n.01 > content.n.05 > idea.n.01 > concept.n.01 > whole.n.01 > compound.n.01	compound.n.01		according to diameters and lengths of rods
5817	Review subject matter of materials to be classified and select classification numbers and headings according to classification systems.	select	numbers	entity.n.01 > physical_entity.n.01 > causal_agent.n.01 > person.n.01 > expert.n.01 > authority.n.03 > adviser.n.01	adviser.n.01		according to classification systems
1278	Determine setup procedures and select machine dies and parts, according to specifications.	select	parts	entity.n.01 > abstraction.n.06 > communication.n.02 > message.n.02	message.n.02		according to specifications
10215	Select appropriate tools, safety equipment, and parts, according to job requirements.	select	parts	entity.n.01 > physical_entity.n.01 > causal_agent.n.01 > person.n.01 > party.n.05 > contractor.n.03 > builder.n.03 > contractor.n.01	contractor.n.01		according to job requirements
3094	Plan arrangement according to client's requirements, using knowledge of design and properties of materials, or select appropriate standard design pattern.	select	pattern	entity.n.01 > physical_entity.n.01 > causal_agent.n.01 > agent.n.03 > coolant.n.01	coolant.n.01		using knowledge of design and properties of materials
13875	Select materials and patterns, and trace patterns onto materials to be cut out.	select	patterns	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > line.n.18 > cord.n.01	cord.n.01		
20008	Audition and select performers for musical presentations.	select	performers	entity.n.01 > abstraction.n.06 > measure.n.02 > system_of_measurement.n.01 > standard.n.01	standard.n.01	for musical presentations	by audition
18363	Select performers for roles or submit lists of suitable performers to producers or directors for final selection.	select	performers	entity.n.01 > abstraction.n.06 > communication.n.02 > message.n.02 > information.n.01 > course_of_study.n.01	course_of_study.n.01		
20388	Interview, select, and train warehouse and supervisory personnel.	select	personnel	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > instrumentality.n.03 > implement.n.01 > tool.n.01 > cutting_implement.n.01 > cutter.n.06	cutter.n.06		
14556	Select photographs, drawings, sketches, diagrams, and charts to illustrate material.	select	photographs	entity.n.01 > abstraction.n.06 > attribute.n.02 > property.n.02 > magnitude.n.01 > extent.n.02 > depth.n.01	depth.n.01	to illustrate material	
1224	Requisition tools and equipment, select type and size of pipe, and collect and transport materials and equipment to work site.	select	pipe	entity.n.01 > abstraction.n.06 > psychological_feature.n.01 > event.n.01 > act.n.02 > activity.n.01 > creation.n.01 > creating_by_mental_acts.n.01 > design.n.01	design.n.01		by type and size
17173	Select mechanical designs, installation equipment, or installation plans that conform to environmental, architectural, structural, site, and code requirements.	select	plans	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > instrumentality.n.03 > device.n.01	device.n.01		that conform to environmental, architectural, structural, site, and code requirements
791	Select proper types of plates according to press run lengths.	select	plates	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > creation.n.02 > representation.n.02 > drawing.n.02 > diagram.n.01	diagram.n.01		according to press run lengths
8602	Select plays, scripts, books, news content, or ideas to be produced.	select	plays	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > instrumentality.n.03 > implement.n.01 > tool.n.01 > shaping_tool.n.01 > die.n.02	die.n.02		
23564	Select and train postmasters and managers of associate postal units.	select	postmasters	entity.n.01 > abstraction.n.06 > communication.n.02 > written_communication.n.01 > writing.n.02 > document.n.01	document.n.01		
8912	Select appropriate culturing system or procedure based on specimen type and reason for referral.	select	procedure	entity.n.01 > abstraction.n.06 > attribute.n.02 > state.n.02 > situation.n.01 > environment.n.01 > sphere.n.01	sphere.n.01		based on specimen type and reason for referral
15346	Select saw blades, types or grades of stock, or cutting procedures to be used, according to work orders or supervisors' instructions.	select	procedures	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > creation.n.02 > representation.n.02 > drawing.n.02	drawing.n.02		according to work orders or supervisors' instructions
22847	Select, request, perform, or interpret diagnostic procedures, such as laboratory tests, electrocardiograms, emergency ultrasounds, and radiographs.	select	procedures	entity.n.01 > physical_entity.n.01 > object.n.01 > whole.n.02 > artifact.n.01 > instrumentality.n.03 > implement.n.01 > tool.n.01 > drill.n.01	drill.n.01		
4324	Select and apply cosmetic products, such as creams, lotions, and tonics.	select	products	entity.n.01 > physical_entity.n.01 > process.n.06 > phenomenon.n.01 > natural_phenomenon.n.01 > physical_phenomenon.n.01 > atmospheric_phenomenon.n.01 > weather.n.01 > elements.n.01	elements.n.01		
15439	Select or assist customers in selecting products based on customer needs, product specifications, and applicable regulations.	select	products	entity.n.01 > physical_entity.n.01 > causal_agent.n.01 > person.n.01 > worker.n.01 > employee.n.01	employee.n.01		based on customer needs
